År;Dubai;Brent;NigerianForcados;WTI
1970;1,21;NaN;NaN;NaN
1971;1,69;NaN;NaN;NaN
1972;1,90;NaN;NaN;NaN
1973;2,83;NaN;NaN;NaN
1974;10,41;NaN;NaN;NaN
1975;10,70;NaN;NaN;NaN
1976;11,63;12,80;12,87;12,23
1977;12,38;13,92;14,21;14,22
1978;13,03;14,02;13,65;14,55
1979;29,75;31,61;29,25;25,08
1980;35,69;36,83;36,98;37,96
1981;34,32;35,93;36,18;36,08
1982;31,80;32,97;33,29;33,65
1983;28,78;29,55;29,54;30,30
1984;28,06;28,78;28,14;29,39
1985;27,53;27,56;27,75;27,98
1986;13,10;14,43;14,46;15,10
1987;16,95;18,44;18,39;19,19
1988;13,27;14,92;15,00;15,97
1989;15,62;18,23;18,30;19,68
1990;20,45;23,73;23,85;24,50
1991;16,63;20,00;20,11;21,54
1992;17,16;19,32;19,61;20,57
1993;14,95;16,97;17,41;18,45
1994;14,74;15,82;16,25;17,21
1995;16,10;17,02;17,26;18,42
1996;18,52;20,67;21,16;22,16
1997;18,23;19,09;19,33;20,61
1998;12,21;12,72;12,62;14,39
1999;17,25;17,97;18,00;19,31
2000;26,20;28,50;28,42;30,37
2001;22,81;24,44;24,23;25,93
2002;23,74;25,02;25,04;26,16
2003;26,78;28,83;28,66;31,07
2004;33,64;38,27;38,13;41,49
2005;49,35;54,52;55,69;56,59
2006;61,50;65,14;67,07;66,02
2007;68,19;72,39;74,48;72,20
2008;94,34;97,26;101,43;100,06
2009;61,39;61,67;63,35;61,92
2010;78,06;79,50;81,05;79,45
2011;106,18;111,26;113,65;95,04
2012;109,08;111,67;114,21;94,13
2013;105,47;108,66;111,95;97,99
2014;97,07;98,95;101,35;93,28
2015;51,20;52,39;54,41;48,71
2016;41,19;43,73;44,54;43,34
2017;53,13;54,19;54,31;50,79
2018;;72,84*;;
Kilde: BP Statistical Review of World Energy[1][2][3]
